"";"unacceptable_antigens";"vpra";"count";"frequency"
"83";"A1 A2 A10 A19 A36 A43 A80 B51 B7 B8 B12 B13 B14 B62 B75 B77 B70 B17 B49 B22 B27 B35 B37 B40 B42 B46 B47 B48 B59 B67 B73 B78 B81 B82 Cw1 Cw9 DR3 DR4 DR5 DR7 DR8 DR9 DQ2 DQ3 DQ4";99,97;1;0,000145011600928074
"84";"A1 A2 A10 A29 A33 A28 A36 A43 B13 DQ8 DQ9 DQ4";93,87;1;0,000145011600928074
"85";"A1 A2 A10 A33 A68 A69 A36 A43 B51 B52 B64 B65 B62 B63 B75 B77 B71 B72 B17 B18 B49 B50 B35 B37 B46 B53 B78 Cw10 Cw9 DR4 DR14 DR7 DR9 DR10 DR53 DQ3";97,99;1;0,000145011600928074
"86";"A1 A2 A11 A68 A69 B7 B8 B57 B58 B27 DR3 DR8";90,84;1;0,000145011600928074
"87";"A1 A2 A11 A69 B51 B7 B44 B13 B64 B65 B62 B63 B76 B57 B18 B54 B55 B56 B27 B35 B37 B60 B61 B42 B47 B48 B67 B73 B78 B81 B82 Cw5 DR1 DR17 DR18 DR10 DQ5 DQ2";99,79;1;0,000145011600928074
"88";"A1 A2 A11 B5 B7 B12 B62 B63 B18 B21 B55 B35 B60 B61 DR2 DR11 DQ7 DQ8 DQ9";99,25;1;0,000145011600928074
"89";"A1 A2 A11 B8 DR3 DR11 DR12 DQ2";89,19;1;0,000145011600928074
"90";"A1 A2 A19 A28 B5 B12 B15 B70 B17 B18 B21 B35 B53 Bw4 Cw3";98,55;1;0,000145011600928074
"91";"A1 A2 A23 A10 A11 A19 A28 A36 A43 B5 B8 B12 B13 B14 B15 B70 B16 B17 B18 B21 B22 B27 B35 B37 B40 B41 B42 B46 B47 B53 B59 B67 B73 B78 B81 B82 Cw6 DR3 DR4 DR5 DR6 DR7 DR8 DR9 DR10 DR52 DR53 DQ5 DQ2 DQ3 DQ4";99,82;1;0,000145011600928074
"92";"A1 A2 A23 A10 A33 A28 A80 DR1 DR15 DR16 DR13 DQ5 DQ6 DQ8 DQ9 DQ4";99,41;1;0,000145011600928074
"93";"A1 A2 A23 A24";80,61;1;0,000145011600928074
"94";"A1 A2 A23 A24 A10 A11 A19 A69 A36 A43 A80 B5 B7 B8 B12 B13 B64 B65 B63 B76 B77 B72 B38 B39 B17 B18 B21 B22 B27 B37 B40 B41 B42 B47 B48 B53 B59 B67 B73 B81 B82 Bw4 Cw1 Cw2 Cw6 Cw7 Cw14 Cw18 DR1 DR3 DR4 DR7 DR8 DR9 DR10 DR53 DQ2 DQ3 DQ4";99,99;1;0,000145011600928074
"95";"A1 A2 A23 A24 A11 A36";85,15;1;0,000145011600928074
"96";"A1 A2 A23 A24 A11 A68 A69 A36 A43 A80 B7 B8 B44 B45 B13 B62 B63 B75 B76 B77 B71 B72 B57 B58 B49 B50 B56 B27 B60 B61 B41 B46 B47 B48 B67 B73 B81 B82 Cw2 Cw10 Cw9 Cw4 Cw7 Cw8 Cw15 Cw16 Cw18 DR16 DR4 DR11 DQ7 DQ8 DQ4";99,86;1;0,000145011600928074
"97";"A1 A2 A23 A24 A11 B13 B47 B53 Cw6";87,87;1;0,000145011600928074
"98";"A1 A2 A23 A24 A11 B58 B60 B61 Cw16 DR4";90,81;1;0,000145011600928074
