time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2
7575	1.1212335207	-1.660157413	-3.328955519	1.1212335207	-1.765099182
7576	1.1213078198	-1.66033646	-3.329598411	1.1213078198	-1.765297262
7577	1.1213821091	-1.660515483	-3.330241218	1.1213821091	-1.765495317
7578	1.1214563886	-1.660694483	-3.33088394	1.1214563886	-1.765693345
7579	1.1215306583	-1.660873459	-3.331526577	1.1215306583	-1.765891347
7580	1.1216049182	-1.661052411	-3.33216913	1.1216049182	-1.766089323
7581	1.1216791684	-1.66123134	-3.332811598	1.1216791684	-1.766287273
7582	1.1217534087	-1.661410245	-3.333453981	1.1217534087	-1.766485197
7583	1.1218276392	-1.661589127	-3.334096279	1.1218276392	-1.766683095
7584	1.12190186	-1.661767985	-3.334738493	1.12190186	-1.766880966
7585	1.1219760709	-1.66194682	-3.335380621	1.1219760709	-1.767078812
7586	1.1220502721	-1.662125631	-3.336022666	1.1220502721	-1.767276632
7587	1.1221244635	-1.662304418	-3.336664625	1.1221244635	-1.767474425
7588	1.1221986451	-1.662483182	-3.3373065	1.1221986451	-1.767672192
7589	1.122272817	-1.662661922	-3.337948291	1.122272817	-1.767869933
7590	1.122346979	-1.662840639	-3.338589997	1.122346979	-1.768067649
7591	1.1224211313	-1.663019332	-3.339231618	1.1224211313	-1.768265338
7592	1.1224952739	-1.663198002	-3.339873155	1.1224952739	-1.768463001
7593	1.1225694066	-1.663376648	-3.340514607	1.1225694066	-1.768660638
7594	1.1226435296	-1.66355527	-3.341155975	1.1226435296	-1.768858249
7595	1.1227176429	-1.663733869	-3.341797258	1.1227176429	-1.769055834
7596	1.1227917464	-1.663912445	-3.342438457	1.1227917464	-1.769253393
7597	1.1228658401	-1.664090997	-3.343079572	1.1228658401	-1.769450926
7598	1.1229399241	-1.664269526	-3.343720602	1.1229399241	-1.769648433
7599	1.1230139983	-1.664448031	-3.344361548	1.1230139983	-1.769845914
7600	1.1230880628	-1.664626512	-3.345002409	1.1230880628	-1.770043369
7601	1.1231621175	-1.66480497	-3.345643186	1.1231621175	-1.770240798
7602	1.1232361625	-1.664983405	-3.346283879	1.1232361625	-1.770438201
7603	1.1233101978	-1.665161816	-3.346924488	1.1233101978	-1.770635579
7604	1.1233842233	-1.665340204	-3.347565012	1.1233842233	-1.77083293
7605	1.1234582391	-1.665518568	-3.348205452	1.1234582391	-1.771030255
7606	1.1235322451	-1.665696908	-3.348845808	1.1235322451	-1.771227554
7607	1.1236062415	-1.665875226	-3.34948608	1.1236062415	-1.771424827
7608	1.1236802281	-1.66605352	-3.350126267	1.1236802281	-1.771622075
7609	1.1237542049	-1.66623179	-3.350766371	1.1237542049	-1.771819296
7610	1.1238281721	-1.666410037	-3.35140639	1.1238281721	-1.772016492
7611	1.1239021295	-1.666588261	-3.352046325	1.1239021295	-1.772213662
7612	1.1239760772	-1.666766461	-3.352686176	1.1239760772	-1.772410805
7613	1.1240500152	-1.666944637	-3.353325943	1.1240500152	-1.772607923
7614	1.1241239435	-1.667122791	-3.353965626	1.1241239435	-1.772805015
7615	1.1241978621	-1.667300921	-3.354605225	1.1241978621	-1.773002081
7616	1.124271771	-1.667479027	-3.35524474	1.124271771	-1.773199121
7617	1.1243456701	-1.66765711	-3.355884171	1.1243456701	-1.773396136
7618	1.1244195596	-1.66783517	-3.356523518	1.1244195596	-1.773593124
7619	1.1244934394	-1.668013207	-3.357162782	1.1244934394	-1.773790087
7620	1.1245673095	-1.66819122	-3.357801961	1.1245673095	-1.773987023
7621	1.1246411698	-1.668369209	-3.358441056	1.1246411698	-1.774183934
7622	1.1247150205	-1.668547176	-3.359080068	1.1247150205	-1.774380819
7623	1.1247888615	-1.668725119	-3.359718996	1.1247888615	-1.774577679
7624	1.1248626928	-1.668903038	-3.36035784	1.1248626928	-1.774774512
7625	1.1249365145	-1.669080935	-3.3609966	1.1249365145	-1.77497132
7626	1.1250103264	-1.669258808	-3.361635276	1.1250103264	-1.775168101
7627	1.1250841287	-1.669436657	-3.362273869	1.1250841287	-1.775364857
7628	1.1251579213	-1.669614484	-3.362912378	1.1251579213	-1.775561588
7629	1.1252317042	-1.669792287	-3.363550803	1.1252317042	-1.775758292
7630	1.1253054775	-1.669970067	-3.364189144	1.1253054775	-1.775954971
7631	1.1253792411	-1.670147823	-3.364827402	1.1253792411	-1.776151624
7632	1.125452995	-1.670325556	-3.365465576	1.125452995	-1.776348251
7633	1.1255267392	-1.670503266	-3.366103667	1.1255267392	-1.776544852
7634	1.1256004738	-1.670680953	-3.366741674	1.1256004738	-1.776741427
7635	1.1256741988	-1.670858616	-3.367379598	1.1256741988	-1.776937977
7636	1.125747914	-1.671036256	-3.368017437	1.125747914	-1.777134501
7637	1.1258216197	-1.671213873	-3.368655194	1.1258216197	-1.777331
7638	1.1258953156	-1.671391466	-3.369292867	1.1258953156	-1.777527472
7639	1.125969002	-1.671569036	-3.369930456	1.125969002	-1.777723919
7640	1.1260426787	-1.671746583	-3.370567962	1.1260426787	-1.77792034
7641	1.1261163457	-1.671924107	-3.371205385	1.1261163457	-1.778116736
7642	1.1261900031	-1.672101608	-3.371842724	1.1261900031	-1.778313106
7643	1.1262636509	-1.672279085	-3.372479979	1.1262636509	-1.77850945
7644	1.126337289	-1.672456539	-3.373117152	1.126337289	-1.778705768
7645	1.1264109175	-1.67263397	-3.373754241	1.1264109175	-1.778902061
7646	1.1264845364	-1.672811378	-3.374391246	1.1264845364	-1.779098328
7647	1.1265581456	-1.672988762	-3.375028169	1.1265581456	-1.779294569
7648	1.1266317452	-1.673166124	-3.375665008	1.1266317452	-1.779490785
7649	1.1267053352	-1.673343462	-3.376301764	1.1267053352	-1.779686975
7650	1.1267789156	-1.673520777	-3.376938436	1.1267789156	-1.779883139
7651	1.1268524863	-1.673698068	-3.377575025	1.1268524863	-1.780079278
7652	1.1269260475	-1.673875337	-3.378211532	1.1269260475	-1.780275391
7653	1.126999599	-1.674052582	-3.378847955	1.126999599	-1.780471479
7654	1.1270731409	-1.674229805	-3.379484294	1.1270731409	-1.780667541
7655	1.1271466732	-1.674407004	-3.380120551	1.1271466732	-1.780863577
7656	1.1272201959	-1.67458418	-3.380756725	1.1272201959	-1.781059587
7657	1.127293709	-1.674761332	-3.381392815	1.127293709	-1.781255572
