time	rcs1	rcs2	rcs3	tvc1_rcs1	tvc1_rcs2	tvc2_rcs1	tvc2_rcs2
56	-1.640830918	1.091650239	-2.12259781	-1.640830918	0.8687664206	-1.640830918	0.8687664206
57	-1.630868657	1.1016403887	-2.119682974	-1.630868657	0.8791087152	-1.630868657	0.8791087152
58	-1.621079662	1.1113224738	-2.116585264	-1.621079662	0.8891624751	-1.621079662	0.8891624751
59	-1.611458009	1.1207087454	-2.113313921	-1.611458009	0.8989389556	-1.611458009	0.8989389556
60	-1.601998071	1.1298107891	-2.109877635	-1.601998071	0.9084488055	-1.601998071	0.9084488055
61	-1.592694504	1.1386395703	-2.10628459	-1.592694504	0.917702109	-1.592694504	0.917702109
62	-1.58354222	1.1472054773	-2.102542492	-1.58354222	0.9267084239	-1.58354222	0.9267084239
63	-1.574536379	1.1555183594	-2.098658611	-1.574536379	0.9354768168	-1.574536379	0.9354768168
64	-1.565672369	1.1635875627	-2.094639806	-1.565672369	0.9440158952	-1.565672369	0.9440158952
65	-1.556945791	1.1714219631	-2.090492554	-1.556945791	0.9523338373	-1.556945791	0.9523338373
66	-1.548352448	1.1790299959	-2.08622298	-1.548352448	0.9604384197	-1.548352448	0.9604384197
67	-1.539888333	1.1864196842	-2.081836874	-1.539888333	0.9683370421	-1.539888333	0.9683370421
68	-1.531549617	1.1935986641	-2.077339718	-1.531549617	0.9760367509	-1.531549617	0.9760367509
69	-1.523332638	1.2005742086	-2.072736702	-1.523332638	0.9835442607	-1.523332638	0.9835442607
70	-1.515233894	1.2073532499	-2.068032747	-1.515233894	0.9908659745	-1.515233894	0.9908659745
71	-1.507250029	1.2139423993	-2.063232519	-1.507250029	0.9980080018	-1.507250029	0.9980080018
72	-1.49937783	1.2203479663	-2.058340446	-1.49937783	1.0049761761	-1.49937783	1.0049761761
73	-1.491614217	1.226575976	-2.053360733	-1.491614217	1.0117760707	-1.491614217	1.0117760707
74	-1.483956235	1.2326321857	-2.048297372	-1.483956235	1.0184130135	-1.483956235	1.0184130135
75	-1.476401047	1.2385220998	-2.043154163	-1.476401047	1.0248921011	-1.476401047	1.0248921011
76	-1.468945931	1.2442509839	-2.037934715	-1.468945931	1.0312182112	-1.468945931	1.0312182112
77	-1.46158827	1.2498238782	-2.032642465	-1.46158827	1.0373960149	-1.46158827	1.0373960149
78	-1.45432555	1.2552456097	-2.027280687	-1.45432555	1.0434299877	-1.45432555	1.0434299877
79	-1.447155351	1.2605208036	-2.021852495	-1.447155351	1.0493244203	-1.447155351	1.0493244203
80	-1.440075345	1.2656538938	-2.016360863	-1.440075345	1.0550834281	-1.440075345	1.0550834281
81	-1.433083292	1.2706491337	-2.010808621	-1.433083292	1.06071096	-1.433083292	1.06071096
82	-1.426177033	1.2755106047	-2.005198472	-1.426177033	1.0662108079	-1.426177033	1.0662108079
83	-1.419354489	1.2802422254	-1.999532995	-1.419354489	1.0715866139	-1.419354489	1.0715866139
84	-1.412613653	1.2848477601	-1.993814653	-1.412613653	1.0768418781	-1.412613653	1.0768418781
85	-1.405952593	1.2893308262	-1.988045797	-1.405952593	1.0819799657	-1.405952593	1.0819799657
86	-1.399369441	1.2936949014	-1.982228675	-1.399369441	1.0870041137	-1.399369441	1.0870041137
87	-1.392862398	1.2979433309	-1.976365436	-1.392862398	1.091917437	-1.392862398	1.091917437
88	-1.386429721	1.3020793336	-1.970458134	-1.386429721	1.0967229344	-1.386429721	1.0967229344
89	-1.380069733	1.3061060082	-1.964508735	-1.380069733	1.101423494	-1.380069733	1.101423494
90	-1.373780806	1.3100263388	-1.958519122	-1.373780806	1.1060218985	-1.373780806	1.1060218985
91	-1.367561373	1.3138432004	-1.952491095	-1.367561373	1.1105208303	-1.367561373	1.1105208303
92	-1.361409912	1.3175593642	-1.946426379	-1.361409912	1.1149228756	-1.361409912	1.1149228756
93	-1.355324955	1.3211775017	-1.940326628	-1.355324955	1.1192305293	-1.355324955	1.1192305293
94	-1.349305079	1.32470019	-1.934193427	-1.349305079	1.1234461989	-1.349305079	1.1234461989
95	-1.343348907	1.3281299154	-1.928028293	-1.343348907	1.1275722084	-1.343348907	1.1275722084
96	-1.337455104	1.3314690779	-1.921832683	-1.337455104	1.1316108021	-1.337455104	1.1316108021
97	-1.331622378	1.3347199948	-1.915607995	-1.331622378	1.135564148	-1.331622378	1.135564148
98	-1.325849476	1.3378849045	-1.90935557	-1.325849476	1.1394343412	-1.325849476	1.1394343412
99	-1.320135183	1.3409659696	-1.903076695	-1.320135183	1.1432234067	-1.320135183	1.1432234067
100	-1.314478321	1.3439652803	-1.896772605	-1.314478321	1.1469333029	-1.314478321	1.1469333029
101	-1.308877747	1.3468848576	-1.890444487	-1.308877747	1.1505659242	-1.308877747	1.1505659242
102	-1.303332352	1.3497266561	-1.884093483	-1.303332352	1.1541231033	-1.303332352	1.1541231033
103	-1.29784106	1.3524925667	-1.877720686	-1.29784106	1.1576066143	-1.29784106	1.1576066143
104	-1.292402824	1.3551844193	-1.871327151	-1.292402824	1.1610181748	-1.292402824	1.1610181748
105	-1.287016629	1.3578039853	-1.86491389	-1.287016629	1.1643594483	-1.287016629	1.1643594483
106	-1.281681489	1.3603529801	-1.858481877	-1.281681489	1.1676320463	-1.281681489	1.1676320463
